id,title,lemmatized,sentiment_lemm,fear,anger,anticipation,surprise,sadness,joy,disgust,positive,negative
13972,The Women,beauty salon divorce woman director nd comedy drama romance iso_3166_1 u name united state america english,story center group gossipy highsociety woman spend day beauty salon haunting fashion show sweet happilywedded mary haines find marriage trouble shop girl crystal allen get hook mary man comedy drama romance beauty salon divorce woman director,0.0606060606060606,0.0303030303030303,0.0909090909090909,0.0909090909090909,0.0606060606060606,0.1515151515151515,0.0303030303030303,0.2424242424242424,0.0303030303030303
13973,Choke,strip club alzheimer sex addiction author fight club comedy drama iso_3166_1 u name united state america english,sexaddicted conman pay mother hospital bill playing sympathy rescue choking death comedy drama strip club alzheimer sex addiction,0.0588235294117647,0.0294117647058823,0.1470588235294117,0.0588235294117647,0.1470588235294117,0.1176470588235294,0.0294117647058823,0.1470588235294117,0.1176470588235294
13982,8 Heads in a Duffel Bag,mexico vacation murder head mindless comedy comedy crime iso_3166_1 gb name united kingdom iso_3166_1 u name united state america english,mafia hitman tommy spinelli joe pesci flying san diego bag hold eight severed head he bringing superior prove troublesome rival mobster permanently picture bag get accidentally switched airport tommy must track duffel bag 8 head contains comedy crime mexico vacation murder head,0.1739130434782608,0.1304347826086956,0.1304347826086956,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.1739130434782608,0.1739130434782608
13983,Finishing The Game,satire independent film spoof nd comedy iso_3166_1 u name united state america english,1973 martial art great bruce lee died final film game death left unfinished public hungry lee movie exec decide find replacement outrageous satire look entire process oddball candidate greed racial motivation drive final decision there big business movie finishing game skewer eye 70 detail comedy satire independent film spoof,0.0434782608695652,0.1304347826086956,0.1739130434782608,0.1304347826086956,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.1304347826086956,0.1739130434782608
13990,The Wackness,coming age marijuana summer nd drama iso_3166_1 u name united state america english,set new york city sweltering summer wackness tell story troubled teenage drug dealer trade pot therapy session drugaddled psychiatrist thing get complicated fall one classmate happens doctor daughter comingofage story sex drug music take man drama coming age marijuana summer,0.0,0.0,0.125,0.0,0.125,0.1875,0.0,0.25,0.125
13991,College,sexuality college girlfriend vomit celebration fraternity frat party nd comedy iso_3166_1 u name united state america english,wild weekend store three high school senior visit local college campus prospective freshman comedy sexuality college girlfriend vomit celebration fraternity frat party,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333
13994,Romance & Cigarettes,infidelity lover working class new york city nd comedy music romance iso_3166_1 u name united state america english,downanddirty musical love story set world working class nick ironworker build repair bridge he married kitty dressmaker strong gentle woman three daughter carrying torrid affair redheaded woman named tula nick basically good hardworking man driven forward blinded urge comedy music romance infidelity lover working class new york city,0.048780487804878,0.048780487804878,0.0975609756097561,0.073170731707317,0.0975609756097561,0.1707317073170731,0.024390243902439,0.2682926829268293,0.073170731707317
13996,Bottle Shock,wine garden wine winzer based true story love victory fermentation comedy drama iso_3166_1 u name united state america english,parisbased wine expert steven spurrier head california search cheap wine use blind taste test french capital stumbling upon napa valley stuckup englishman shocked discover winery turning topnotch chardonnay determined make name set getting booze back paris comedy drama wine garden wine winzer,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.375,0.375
14012,Flicka,horse nd drama iso_3166_1 gb name united kingdom iso_3166_1 u name united state america english,headstrong 16 year old katy mclaughlin desire work family mountainside horse ranch although father insists finish boarding school katy find mustang hill near ranch katy set mind tame mustang prove father run ranch tragedy happens take love strength family muster restore hope drama horse,0.0555555555555555,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.0,0.2222222222222222,0.0555555555555555
14014,The Hammer,transporter sport independent film guy dont know destiny till hit face comedy iso_3166_1 u name united state america english,approaching forty ferro unsatisfied life construction worker parttime boxing instructor los angeles ca successful bout young pro boxer ferro decides glove one last time movie recount unlikely quest olympic gold comedy transporter sport independent film,0.0,0.0909090909090909,0.2727272727272727,0.0454545454545454,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.2272727272727272,0.0909090909090909
